ITEM_ID,TITLE
1538192,张量学习三讲:学习和理解张量的基础:a foundation on learn and understand the tensor
1264608,б.п.吉米多维奇数学分析习题集题解.第4版
1351661,风能利用——理论、设计和应用
1584625,风力机传动系统流固热耦合及可靠性研究
683504,Visual Basic 6.0程序设计工程师
951428,Visual Basic.NET实用教程
1211793,六级写作范文100篇
1349421,冷冻干燥技术原理及应用研究新进展
946931,冷冻干燥新技术
983416,系统解剖学学习纲要
1252564,生理学.第3版
1306324,从实例中学C/C++程序设计
1194110,C程序设计试题汇编.第3版
1235559,我有一个同事
994549,泛函分析
1174569,偏微分方程
1356731,英语“说文解字”
922126,财会专业英语
1531527,微观经济学.第7版
1553814,即兴演讲:掌控人生关键时刻:leading in the moment
719924,彼得.林奇的成功投资:how to use what you already know to make money in the market
1522500,诗经选:宋画插图版
1354242,失眠夜看的哲学书
535866,汪精卫评传
966134,汉光武帝大传
1362573,心学凶猛:最通俗的《传习录》，最易懂的王阳明
480249,中国哲学简史
1416403,经济学原理
1211566,"经济学原理,宏观经济学分册"
1069568,自由精神哲学:基督教难题及其辩护
873832,"基督教与西方思想:19世纪的信仰和理性.卷二,哲学家、思想与思潮的历史"
860105,基督教史
964028,"古龙作品集.40,天涯·明月·刀.珍藏本"
524983,转子动力学
1103314,分身
1529826,SAS与金融数据分析
1325371,大卫·科波菲尔
711178,且听风吟
644832,舞!舞!舞!
1043219,SQL入门经典
1596947,多元统计分析.第5版
1228411,统计学.第5版
1540766,《统计学 (第7版)》学习指导书.第7版
1530126,统计学.第7版
1540767,《统计学 (第7版)》学习指导书.第7版
1043218,SQL入门经典
1596946,多元统计分析.第5版
1227127,王石说:影响我人生的进与退
1444473,高效能人士都在用的工作法:Excel会计与财务职场实践技法
1329959,偷影子的人
787966,管理学.第7版
700096,常微分方程教程
1107122,国门亮剑:抗美援朝纪实
895336,第三野战军征战纪实.第3版
1021985,材料力学.第2版
1349904,神在人间的时光
1416645,古希腊神话与悲剧
1416312,流放七月
1059645,暧昧
1498945,放弃我，抓紧我
1114618,线性代数.第3版
1450955,线性代数习题全解:同济·第六版
1084693,你不可不知的100种完美化妆技巧
1002073,霓裳羽衣:国际服饰新视界
1416940,彩图全解茶经
1543183,中国茶彩色全图鉴
1266895,找到你一生中最适合的装扮
1446750,9大单品玩转穿搭
1447012,这样穿很美:平价搭出时尚范
1346069,做个千颂伊般的美颜女神
1497572,和秋叶一起学Word:又快又好搞定工作文档排版.第2版
1253773,文档之美:打造优秀的Word文档:creating excellent word
1345296,Word排版之道.第3版
1501548,和秋叶一起学PPT:又快又好打造说服力幻灯片.第3版
1082572,一本女人写给女人的理财书:女人要有钱的六堂必修课
1310529,从平凡到惊艳：我的美丽圣经
430305,结构化学原理与题解
1051667,新编有机化学习题集
950960,有机化学考研攻略
1521418,企业战略管理.第3版
1200310,数学物理方程
1565533,张宇高等数学18讲.2019
1530044,管理沟通.第3版
1329964,1Q84
1312467,文献检索与利用.第2版
1239414,超凡蜘蛛之英语四级(CET4)核心词汇记忆手册
1509550,Vue.js实战
788760,SPSS统计分析高级教程
1358413,算法与数据结构考研试题精析.第3版
1523030,分子发射光谱分析
1153348,被埋没的天才:科学超人尼古拉·特斯拉
1486243,电力传输系统和智能电网
1318989,电力系统分析
1333901,数字图像处理.第3版
1281247,数字图像处理与分析基础:MATLAB和VC++实现
1584766,海伯利安
1479129,希腊棺材之谜.第5版
1042056,X的悲剧
1146262,进化计算的理论和方法
1552944,终极智能：感知机器与人工智能的未来
1556135,深度学习之美:AI时代的数据处理与最佳实践
993627,软计算方法理论及应用
917211,藏书室女尸之谜
